24338,"MEDDELELSE FRA KOMMISSIONEN Arbejdsprogram for 2014 ",2023-01-27 14:25:13.703,7
24582,Forslag til AFGØRELSE om undertegnelse og midlertidig anvendelse af aftalen om et fælles luftfartsområde mellem EU og Ukraine,2024-07-02 16:02:32.060,7
24629,Forslag til AFGØRELSE om indgåelse af en tillægsprotokol til overenskomsten mellem EU og Island om fisk - Kroatiens optagelse i EU,2025-03-21 11:16:49.390,7
24630,Forslag til AFGØRELSE om undertegnelse og midlertidig anvendelse af en aftale om Kroatiens deltagelse i EØS-samarbejdet,2025-03-21 11:29:22.380,7
24631,Forslag til AFGØRELSE om undertegnelse og midlertidig anvendelse af en tillægsprotokol til overenskomsten mellem EU og Island om fisk - Kroatiens optagelse i EU,2025-03-21 11:26:21.273,7
24693,Forslag til FORORDNING om forbud mod fiskeri med drivgarn,2025-03-07 12:50:21.170,7
24713,Forslag til AFGØRELSE om indgåelse af en tillægsprotokol til overenskomsten mellem EU og Norge om fisk - Kroatiens optagelse i EU,2025-03-21 11:23:12.913,7
24716,Forslag til AFGØRELSE om indgåelse af en aftale om Kroatiens deltagelse i EØS,2025-03-21 11:21:27.687,7
24928,Forslag til FORORDNING om anvendelse af artikel 107 og 108 TEUF om horisontal statsstøtte (kodifikation),2022-12-08 14:49:39.650,7
24945,Forslag til FORORDNING om regler for anvendelsen af artikel 108 TEUF (statsstøtte),2023-11-30 13:38:47.430,7
25013,Forslag til ÆNDRING af FORORDNING om ordningen om egne indtægter (revision  af BNI-data),2022-12-08 14:54:20.700,7
25385,"Forslag til ÆNDRING AF FORORDNING om ulovligt, urapporteret og ureguleret fiskeri",2025-03-07 12:52:19.420,7
25435,Forslag til ændring af Rådets forordning om europæisk ål,2025-03-07 12:54:49.957,7
25443,Forslag til ændring af Rådets forordning (EF) nr. 850/98 om bevarelse af fiskeressourcerne,2025-03-07 12:56:15.997,7
25675,RAPPORT FRA KOMMISSIONEN om evalueringen af det europæiske år for frivilligt arbejde 2011,2023-11-20 12:37:29.560,7
25678,MEDDELELSE FRA KOMMISSIONEN om toldunionens tilstand,2023-11-14 10:31:31.697,7
25690,Henstilling med henblik på RÅDETS HENSTILLING om Cyperns nationale reformprogram for 2012 og med Rådets udtalelse om Cyperns opdaterede stabilitetsprogram for 2012-2015,2023-04-19 13:18:36.977,7
25691,Henstilling med henblik på RÅDETS HENSTILLING om Italiens nationale reformprogram for 2012 med Rådets udtalelse om Italiens stabilitetsprogram for 2012-2015,2023-04-19 13:18:52.737,7
25739,UDTALELSE FRA KOMMISSIONEN om udkast til Det Europæiske Råds afgørelse om ændring af artikel 136 TEUF om en stabilitetsmekanisme for eurolandene,2024-12-13 12:15:20.877,7
25903,MEDDELELSE FRA KOMMISSIONEN Bekæmpelse af korruption i EU,2023-03-01 10:39:43.550,7
25960," FORSLAG TIL ændring af Rådets forordning om fiskeressourcerne i Middelhavet",2025-03-07 12:57:36.557,7
26087,Forslag til RÅDETS AFGØRELSE om indgåelse af aftalen om oprettelse af en associering mellem Den Europæiske Union og dens medlemsstater på den ene side og Mellemamerika på den anden side,2024-04-19 15:44:02.407,7
26091,MEDDELELSE FRA KOMMISSIONEN Udvidelsesstrategi og vigtigste udfordringer 2011-2012,2024-12-20 13:45:33.213,7
26093,MEDDELELSE FRA KOMMISSIONEN Udtalelse om Serbiens ansøgning om medlemskab af EU,2024-04-18 15:58:29.897,7
26219,"Forslag til Rådets afgørelse om Det Europæiske Fællesskabs indgåelse af protokollen af 2002 til Athen-konventionen af 1974 om søtransport af passagerer og deres bagage ",2023-04-19 13:17:53.153,7
